id,name,listing_key
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,60
15385,"Very, very cozy place",61
15396,Sunny & Spacious Chelsea Apartment,62
15711,2 bedroom - Upper East Side-great for kids,63
16326,Comfortable 4-bedroom apt in family house.,64
16338,Double Room w Private Deck Clinton Hill Best Area,65
16421,Your Heaven in Hells Kitchen,66
16458,Light-filled 2B duplex in the heart of Park Slope!,67
16580,"Sunny, Modern room in East Village!",68
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,69
16821,Large Room in Amazing East Village Apt,70
16974,SpaHa Loft: Enormous and Bright,71
17037,Lovely EV Artist's Home,72
17092,Cool Room in Hell's Kitchen,73
17693,"HARLEM, NEW YORK WELCOMES YOU!!",74
17747,BLUE TRIM GUEST HOUSE,75
18127,Charming East Village One Bedroom Flat,76
18152,Manhattan Room,77
18198,Little King of Queens,78
18590,Fort Greene Retreat on the Park,79
18728,Beautiful Meatpacking District Loft,80
18764,Cozy 2 BR in Williamsburg ,81
19159,Spacious luminous apt Upper West NYC,82
19169,Entire 2 Bedroom - Large & Sunny,83
19282,"Sunny, Spacious Top Floor Haven",84
19319,Private room Great Deal at Lower East Side,85
19812,2 bedroom Williamsburg Apt - Bedford L stop,86
20299,Oh glorious spring!,87
20300,Great Location for NYC,88
20611,Cozy Bedroom in Williamsburg 3 BR,89
20724,Sunny room+Pvte office in huge loft,90
20734,Spacious Prospect Heights Apartment,91
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",92
20853,2-bed brownstone duplex + garden,93
20913,Charming 1 bed GR8 WBurg LOCATION!,94
21293,Sunny Apartment in Artist Home,95
21456,Light-filled classic Central Park ,96
21644,"Upper Manhattan, New York",97
21794,COZY QUIET room 4 DOOGLERS!,98
22911,The Stuydio Modern and Light Filled,99
22918,loft bed - near transportation-15min to times sq,100
23135,House On Henry (3rd FLR Suite),101
23501,Monkey Retreat Manhattan,102
23686,2000 SF 3br 2bath West Village private  townhouse,103
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",104
24285,Beautiful Duplex Apartment,105
25235,Large 2 Bedroom Great for Groups!,106
25406,"Modern Brooklyn Apt., August sublet",107
25696,"1,800 sq foot in luxury building",108
26012,Sunny 2-story Brooklyn townhouse w deck and garden,109
26362,"Times Square, Safe, Clean and Cozy!",110
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",111
26559,Beautiful Apartment East Village,112
26785,Park Slope Green Guest House,113
26933,2 BR / 2 Bath Duplex Apt with patio! East Village,114
26954,NYC fabulous views Manhattan's eye,115
26969,2 story family home in Williamsburg,116
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,117
27385,Great Large 1 BR apt  in East Village!,118
27531,Eveland Private Bed & Living Room w/ Own Entrance,119
27644,Sugar Hill Rest Stop ,120
27659,3 Story Town House in Park Slope,121
27759,apartment next to Central park,122
27883,East Village Sanctuary,123
28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,124
28396,Modern Apt with Spectacular Views,125
28907,Garden studio in the Upper East Sid,126
29012,Secluded Master Bedroom in Beautiful Huge Apt,127
29013,B & B Room 1,128
29455,ACCOMMODATIONS GALORE #1,129
29628,Sunny Room in New Condo,130
29683,Stylish & Sleek Apartment Near SoHo!,131
30031,NYC artists’ loft with roof deck,132
30927,Unique & Charming small 1br Apt. LES,133
31130,Most Central Location!,134
31555,Luminous Beautiful West Village Studio,135
31902,Sanctuary in East Flatbush,136
31994,Room with En Suite Bathroom & Deck,137
32023,FLAT MACDONOUGH,138
32037,Huge Private  Floor at The Waverly,139
32100,"Modern Greenpoint, Brooklyn Apt",140
32289,"Sun-drenched, artsy modernist 1 BDRM duplex",141
32331,"Sunny, Cobble Hill Apartment",142
32363,Fully Furnished Basement Apartment,143
32965,FLAT MACDONOUGH GARDEN,144
32969,Light filled Williamsburg Apartment,145
33009,Retreat in Williamsburg,146
33014,NYC Zen,147
33223,Cozy BR in Wiliamsburg 3 Bedroom,148
34760,Sunny Room in Old Historical Brooklyn Townhouse,149
35526,Sun Filled Classic West Village Apt,150
36121,Lg Rm in Historic Prospect Heights,151
36133,Classic Artist Loft Williamsburg,152
36442,Great location. Spacious on PROSPECT PARK,153
36647,Private Bdrm/Bathrm. New! Elevator!,154
36703,"Sunny, clean 1 bdrm in W. Village",155
36934,Great location in Williamsburg,156
38638,Light and Airy Upper East Side 1 BDR apartment,157
38663,Luxury Brownstone in Boerum Hill,158
39267,CENTRAL PARK LOFT all for YOU,159
39282,Indie-Chic Share In Williamsburg,160
39593,"A room w/ a Manhattan view, longer stay",161
39704,"Private, Large & Sunny 1BR w/W&D",162
40039,Luxurious Condo in DUBMO with View,163
40453,Charming & Cozy midtown loft any WEEK ENDS  !!!,164
41348,* Spacious GARDEN Park Slope Duplex* 6 people max,165
41513,Convenient cozy cheap apt Manhattan,166
42580,Parlor Room In Victorian Townhouse,167
42729,House On Henry (2nd FLR Suite),168
42882,New York room with a view,169
43957,Sunny cozy room in Brklyn townhouse,170
44096,Room with a View,171
44161,Light+Open+Airy+Rustic+Modern Loft,172
44212,West Inn 2 - East Village,173
44221,Financial District Luxury Loft,174
44229,BROOKLYN VICTORIAN STYLE SUITE.....,175
44288,Your own Lovely West Village Studio,176
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,177
45393,Greenwich Village Stylish Apartment,178
45542,Clean and Cozy Harlem Apartment,179
45556,"Fort Greene, Brooklyn: Center Bedroom",180
45910,Beautiful Queens Brownstone! - 5BR,181
45936,Couldn't Be Closer To Columbia Uni,182
45940,Bright Spacious Luxury Condo,183
46544,Park Slope haven 15 mins from Soho,184
46723,SAFE  AND BEAUTIFUL ACCOMODATION,185
46911,Large Room in private Brownstone in Park Slope,186
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",187
47362,"LARGE, COMFY 1BDR W/CHARACTER!!!",188
47370,Chelsea Studio sublet 1 - 2 months,189
47926,LUX APT IN TIMES SQUARE NEW BUILDING,190
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,191
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,192
51438,1 Bedroom in 2 Bdrm Apt- Upper East,193
51485,Lower East Side $57~/night,194
51572,Prime Location in Manhattan,195
51850,( F) Excellent/Pvt Rm,196
53137,"Quiet, sunny Midtown Manhattan apt.",197
53196,Big Room/Washer-Dryer/Wifi/AC/JMZ,198
53469,cozy studio with parking spot,199
53470,Clean and convenient 2BR apartment,200
53477,3 floors of luxury!,201
54158,The Institute—Heart of Williamsburg,202
54453,MIDTOWN WEST - Large alcove studio,203
54466,Beautiful Uptown Manhattan apartmnt,204
54508,Sml Rm in pr Brst  Park Sl great for Med/students,205
54544,City Room - Private Penthouse Apt.,206
54626,Cozy bedroom by Yankee Stadium,207
54860,Great apartment with private bathroom and entrance,208
55467,Private Garden Apt • New Renovation,209
55498,Modern comfort in art infused landmark Brownstone,210
55668,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",211
55737,Sleek & Comfortable Soho Apt,212
55959,Spacious Williamsburg Share w/ LOFT BED,213
55982,Cozy 2 br in sunny Fort Greene apt,214
56467,Cozy East Village Railroad 1 Bed!,215
56525,1 Bedroom Loft w/ Private Roof Deck,216
56859,City Room - Private & Comfy Bedroom,217
57166,Elegant NYC Pad,218
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",219
57468,"Modern, Large East Village Loft",220
57618,"Great new apt, close to everything",221
57740,Quiet & Clean Retreat in the City,222
57754,Stylish Large Gramercy Loft!,223
57874,The Brownstone-Luxury 1 Bd Apt/NYC,224
58059,PRIVATE Room on Historic Sugar Hill,225
58062,South Slope Green,226
58467,"17 Flr. Manhattan Views, Nr. Subway",227
59014,"Spacious 1BR, Adorable Clean Quiet",228
59121,"Nice, clean, safe, convenient 3BR",229
59642,Franklin St Flat in Trendy Greenpoint Brooklyn,230
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",231
59855,One bedroom Apt. in NYC,232
60164,"Beautiful, elegant 3 bed SOHO loft",233
60457,Spacious Greenwich Village Apt,234
60611,SpaHa Studio Monthly Rental,235
60666,City Room - Private Luxury Suite,236
60673,Private Room/bath Luxurious Harlem,237
60680,The gem of the East Village,238
60794,"Bright and spacious, garden below!",239
60948,ACCOMMODATIONS GALORE #2,240
61167,Colorful Private One Bedroom Apt,241
61224,Huge Chelsea Loft,242
61406,Great room in great location,243
61492,Exclusive Room with Private Bath in  LES,244
61509,"Quiet, clean midtown apt w. elevato",245
62095,BK Sweet Suite w/Kitchen&FullBath,246
62427,Great East Village Apartment Rental,247
62430,BROWNSTONE SUNDRENCHED BEAUTY,248
62452,A SpeciaL!! Private Room in NY,249
62461,B NYC Staten Alternative...,250
62787,C Private Room By The Ferry,251
62891,Smallest House In The Village,252
62903,Beautiful modern studio apartment in heart of NYC,253
62925,Beautiful Landmarked Duplex,254
63299,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,255
63320,D Private Che@p Room 2 Explore NYC,256
63360,Safe cute near subway& Manhattan NY NY retro style,257
63546,Large and Cozy Private Bedroom,258
63573,Small tidy bedroom in duplex,259
63588,LL3,260
63610,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,261
63657,"Private, Large & Sunny Top Floor Apt  w/W&D",262
63693,Cottage in the Village,263
63719,BEDROOM1 FOR RENT 10min from Manhan,264
63913,"HOSTING YOUR  SUNNY, SPACIOUS NYC ROOM",265
64000,Williamsburg near soho. / loftbed,266
64015,Prime East Village 1 Bedroom,267
64107,BROOKLYN  STUDIO APARTMENT,268
64277,BEDROOM2 FOR RENT  10min from Manh,269
64314,cozy bedroom in lovely garden apt,270
64365,Crown Heights Garden Apt.,271
64707,Amazing  Sunny & Breezy Home In the Heart of  NYC,272
64837,ENJOY Downtown NYC!!,273
65019,Charming UWS Treehouse Apt,274
65268,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,275
65556,"Room in S3rd/Bedford, Williamsburg",276
65562,CHARMING EAST VILLAGE 2 (or 1) BR,277
65615,Farmhouse Apartment in Williamsburg,278
65660,Bright+Spacious Williamsburg Abode!,279
65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",280
65834,Beautiful 1 Bedroom Apt Park Slope,281
66008,CHARMING CARROLL GARDENS APT.,282
66026,Private Bedroom Brownstone Brooklyn,283
66251,East Village Loft with Piano & Patio,284
66275,Lower East Side Magic Room,285
66451,**Fantastic Williamsburg Apt**,286
66718,West Harlem Home Base - Eco-Apt.,287
66741,Charming Garden Apt in Park Slope,288
66974,"Lovely, Modern, Garden Apartment",289
67288,Central Park 1BR sunny condo,290
67299,Cozy Garden Apartment  in Williamsburg,291
67397,SoHa comfort-by NW Central Park!,292
68099,Cozy room in Upper West Side,293
68305,Cozy Private Room in Apartment,294
68403,The Cozy Brownstone Inn (discount)!,295
68735,Prewar Penthouse w Private Terrace,296
68765,Designer 2.5 BR Loft in Carroll Gardens by Subway,297
68900,Bright Beautiful Brooklyn,298
68974,Unique spacious loft on the Bowery,299
69894,"Nice renovated apt, prime location!",300
69921,Brooklyn Writer's Nook,301
70095,Private Bedroom in Large NYC Apartment,302
70128,"Large, Sunny Room East Village NYC",303
70609,Great Large 3 BR/2 Bath Duplex with Private Patio!,304
71010,All That Jazz. Uptown style on Sugar Hill.,305
71248,Bright and lovely 1 bdrm apt in LES,306
71366,Beautiful One Bed West Village - 4 Month Special,307
71384,Gigantic Private Brooklyn Loft!,308
71812,Condo Apartment with laundry in unit,309
72190,1BR: See Central Park from Terrace!,310
72265,Private room in cozy Greenpoint,311
74073,Food & Music Dream Apartment in Williamsburg,312
74240,French Garden cottage off Bedford,313
74333,Alcove Studio w/ outdoor Patio Deck,314
74404,Luxury 3 bed/ 2 bath apt in Harlem w/ terrace,315
74680,One Bedroom Mini studio - Free WIFI,316
74860,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",317
75193,BROOKLYN > Guest Room w/ King Bed in Williamsburg,318
75635,Bright Cozy Chinatown Studio Apt.,319
76761,Eveland the Place to Stay & Enjoy a 5-⭐️ 2bdrm,320
77765,Superior @ Box House,321
77936,Hells Kitchen Garden of Eden,322
78919,"Historic House Boerum Hill, BK, NYC",323
79067,Lovely 3 bedroom in Italianate Brownstone w/garden,324
79782,"Williamsburg HUGE, PRIVATE BATH - Next to Train!",325
80493,Cozy room in East Village with AC,326
80684,Duplex w/ Terrace @ Box House Hotel,327
80700,Loft w/ Terrace @ Box House Hotel,328
80924,Spacious 3 Bedroom Duplex in Park Slope,329
81739,Loft w/ Terrace @ Box House Hotel,330
82549,Columbia Castle in Brooklyn Heights,331
82550,Columbia Castle 2 BR,332
82638,"Charming Artist's Flat, East Village",333
82928,BEAUTIFUL 2 BEDROOM APARTMENT,334
83243,Brooklyn Cove Studio Apt w/ Garden!!,335
83446,"Ft. Greene garden gem, large and convenient",336
83722,Williamsburg penthouse with private roof cabana,337
83847,East Village Designer's 1-BR APT,338
84010,Superior @ Box House,339
84059,So Much Room in Brooklyn,340
84659,Large Studio--Heart of East Village,341
84905,Huge.Bright.Clean.Safe. Private Room,342
85094,Garden 1BR/1BA Brownstone Apt - 2 blocks to subway,343
86215,MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN,344
89427,The Brooklyn Waverly,345
89621,"WONDERFUL, COMFORTABLE STUDIO",346
93313,MAISON DES SIRENES 2,347
94035,"Modern, Safe, Clean, Bright Room in Astoria for 2",348
94209,LARGE 1BR (CONV 2BR) CROWN HEIGHTS,349
94477,The Vernon On Greene,350
94783,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",351
95747,Lovely 1BR in Tree-lined WBurg,352
95883,Spacious Loft in Clinton Hill,353
96471,"The Brooklyn Waverly, One Bedroom",354
98330,LOVELY APARTMENT IN THE HEART OF NY,355
98663,Groovy NYC Chelsea Pad,356
99070,Comfortable Cozy Space in El Barrio,357
99085,Sunny Bklyn Jewel  Fort Greene JULY  - AUG 2019,358
100002,"MANHATTAN Neat, Nice, Bright ROOM",359
100184,Bienvenue,360
100186,Large Brand New Park Slope 1BR,361
101053,Colorful Artistic Williamsburg Apt,362
102995,UWS Brownstone Near Central Park,363
103161,Artsy TopFloor Apt in PRIME BEDFORD Williamsburg,364
103311,2 BR w/ Terrace @ Box House Hotel,365
103806,BOHEMIAN EAST VILLAGE 2 BED HAVEN,366
105469,Oceanfront Apartment in Rockaway,367
105510,Private 1-Bedroom Apt in Townhouse,368
106363,Bright Room With A Great River View,369
106647,Tree lined block modern apartment,370
107630,Sweet Historic Greenpoint Duplex,371
107895,Riverside Charm with Fire Place,372
110739,"Very Central, Nomad/Chelsea Loft Studio",373
112100,Sunny 3BR Apt Ideal for Family  ,374
112304,Cozy Private Room in West Harlem!,375
112359,UES Quiet & Spacious 1 bdrm for 4,376
112435,ALL ABOUT A VERY COMFORTABLE ROOM..,377
113265,Brooklyn- Crown Heights Garden Apt.,378
113945,Cozy room in Time Square!,379
114123,Large Park Slope Townhouse Duplex,380
114229,Lower East Side 2 Bedroom Apt,381
114969,"Manhattan Studio, Perfect Location",382
115535,Sun-Drenched Hamilton Hts Jewel   ,383
115678,Your Stunning Vacation Apartment!,384
115748,1 BDRM Apt-Weekend Sublease,385
116940,ROOM WITH A  KITCHENETTE,386
117425,"Conveniently Located, Sunny Brooklyn Heights!",387
118061,Style in Stuyvesant Heights,388
118430,Heart of Meatpacking & Chelsea,389
118680,Spacious East Village apt near it all,390
120362,Williamsburg apartment right by the subway,391
121687,Spacious Brooklyn Loft - 2 Bedroom,392
121861,"Park Slope Apt:, Spacious 2 bedroom",393
123784,NYC Studio for Rent in Townhouse,394
125053,⚡Quiet Gem w/roof deck on NY's Hottest Street⚡,395
125163,Authentic New York City Living ,396
125594,SUPER BIG AND COZY PRIVATE BEDROOM,397
126443,☆Massive DUPLEX☆ 2BR & 2BTH East Village 9+ Guests,398
126816,Gorgeous Upper West Side Apartment,399
127387,"Luxe, Spacious 2BR 2BA Nr Trains",400
128975,City Room - Street View Apt,401
131154,Cozy and Bright One Bedroom in BK,402
132516,Forest Hills Apt minutes to midtown Manhattan,403
132570,Spacious West Village 1 b/room King,404
132695,Perfect Williamsburg Summer Haven,405
133025,Midtown cozy convenient,406
134934,Prime Williamsburg Apartment,407
135393,"Private, spacious room in Brooklyn",408
135465,Garden apartment close to Manhattan,409
135706,The Ground Studio - West Side,410
136493,Stunning arty 3200sf 3FLR+3BR townhome w/terrace,411
138216,Sunny and Spacious Designer's Home,412
139624,"Spacious,Sunny, private one bedroom",413
140133,Truly Amazing Oasis In The City,414
140425,Holiday Time in NY - Oh My!!,415
140973,"East Village, King-Sized, Charmer",416
141154,Affordable Furnished Apartment,417
141335,Architect's Brownstone,418
141890,LUXURY SOHO 2 Bedroom Apt ,419
141984,Charming Nolita Apartment!!,420
142069,"EAST VILLAGE STUDIO, sunny & quiet",421
144087,LUXURY OF THE HORIZON,422
144148,1 Bdrm in 4 Bdrm dupelx/roof deck,423
145064,The Heart of Prime Williamsburg,424
145188,Parisian apartment in Chelsea,425
145994,Cozy 2 Bedroom with Private Garden,426
146754,Three-bedroom house in a quiet neighborhood,427
147586,Beautiful Duplex w/Private Garden,428
148201,NYC - Sunny Greenwich Village 1br,429
148259,Garage Designer Loft,430
148825,Best City Area Columbia U Upper West Side C Park,431
149287,Your own apartment off Park Avenue,432
149777,Artsy 1 bedroom Apt. 20 min to 42nd Grand Central!,433
150804,Lower East Side 2 Bed Apt.,434
151199,Astoria-Private Home NYC-,435
151478,"BIG, COMFY , PRIV. ROOM, BIG APT, YARD, GREAT LOC.",436
152071,Park Slope Apartment,437
152078,CHARMING PRIVATE BEDROOM EAST VILLAGE,438
152259,City Room - Semi Private Bedroom,439
152263,Cozy apartment in a brownstone,440
152520,Female Only Clean15min to Manhattan,441
153405,Greenpoint Spacious Loft,442
153780,Private E. Village Townhouse Stay,443
154934,Harlem/Hamilton Heights Cozy Room,444
155296,Incredible Prime Williamsburg Loft!,445
157673,Large  Loft Style  Studio  Space,446
158061,Hancock Town House!-Stuyvesant Mews,447
158176,Entire Apt in Heart of Williamsburg,448
158290,Clinton Hill + Free Coffee = #smile,449
158913,"Nice, cozy, neat apt Greenpoint,BK",450
158955,PRIVATE and SUNNY Williamsburg Apt!,451
159749,Purple Room for 2/3 in brownstone $1450 per month,452
159815,Red Room for two in Brownstone for $1355/mo,453
159913,"Chelsea living, 2BR best location",454
160609,LOCATION LOCATION LOCATION UWS 60's,455
160994,In the heart of East Village,456
161366,Sunny 15min to Manhattan LADY only,457
161394,Surfer room 15mins to downtown NYC!,458
161996,Manhattan Penthouse-Max.12 guests,459
162493,Prime Williamsburg 3 BR with Deck,460
162508,Beautiful Brooklyn Oasis ,461
163627,Blue Room in Awesome Artist's Apartment!,462
163809,Cool & Spacious Harlem Artist Flat,463
163814,☆ STUDIO East Village ☆ Own bath! ☆ Sleeps 4 ☆,464
163836,Greenpoint Loft / Le Chez Andrea,465
164989,"*SoHo: Clean, Safe, Private, Peaceful Bedroom (A)*",466
165080,Amazing Brownstone in Best Brooklyn,467
165461,Couldn't Be Closer To Columbia Uni2,468
165824,Lady only Curtain-divided room,469
166006,Nice Manhattan Apt Near Central Park and Subway,470
166172,LG Private Room/Family Friendly,471
166541,Spacious Quiet rm - 20mins to Midtown,472
166983,"3 BR, Beautiful Brooklyn Duplex",473
167013,Spacious modern studio apartment in Manhattan,474
167017,Gorgeous Duplex + Garden,475
167222,CBG# 4Tiny room w/ huge window/AC,476
167482,Charming upper west side apartment,477
168084,Light-filled East Village Delight,478
168123,"Sunny, quiet, legal homelike suite-Pk Slope South",479
168546,Spacious Duplex in Brownstone!,480
168810,Lovely Vintage Haven—Heart of UWS,481
169002,Modern Space in Charming Pre-war,482
169152,Warehouse Loft with Garden view,483
169306, Affordable & Cozy ,484
169464,Creative Vintage Loft in S. Williamsburg,485
169483,Very close to Downtown Awesome Private Apartment,486
170420,The Happy home!,487
170761,"Fort Greene, Brooklyn: Front Bedroom",488
171776,Gorgeous 1 bdrm in huge duplex!,489
172700,"Sunny, cozy room in Lower East Side",490
172870,Large Quiet Bedroom Near Columbia U,491
173072,Cozy Pre-War Harlem Apartment,492
173151,spacious studio,493
173742,"Elegant 2-BR duplex, Union Square",494
174527,Cozy private family home in Bushwick,495
176135,Cosy Sunny 1brm in Prospect Heights,496
176653,East Village bedroom w rooftop,497
176962,Williamsburg Home Away From Home!,498
177421,Brand New Beautiful Duplex Apartment with Garden,499
177495,"PRIME, Luxury, Spacious 2 Bedroom Apt in Chelsea",500
177606,SPACIOUS ALCOVE STUDIO/ JUNIOR ONE,501
179670,High-end doorman bldg in the LES,502
179741,Spring & Mulberry 2 Bedroom Apartment,503
180507,Ultra Modern NYC Garden Apartment,504
180792,Modern Garden Apartment in NYC,505
181972,Gorgeous Entire Manhattan Townhouse,506
182069,Cozy studio Apartment in Upper East,507
182095,Historic classic central cozy Village clean NYU,508
182177,A PRIVATE FLAT / APARTMENT- $SPECIAL$,509
182649,Williamsburg bedroom by Bedford Ave,510
185266,Clean and bright with a comfortable atmosphere,511
187488,WEST VILLAGE LRG CLEAN SUNNY PRIVATE BDRM,512
187566,Historic Brooklyn Studio Apartment,513
187986,Comfort at Crossroads of Downtown,514
188146,"""The Oasis"" on Bedford Williamsburg",515
188661,"Large, sunny garden apartment.",516
188674,UNION SQUARE/ E. VILL 1BR BEAUTIFUL,517
189135,Hell's Kitchen Funky 80's Hideaway!,518
189181,Room in Chic Modern High Line Luxury- New!,519
189732,Family & Friends in New York City,520
189787,Spacious & Comfy BK Brownstone,521
190267,Large Luxury Upper East Side Studio,522
190542,Chateau Style Brooklyn Loft for Singles or Couples,523
190968,Lovely Brooklyn Brownstone 1BR!,524
190974,Beautiful Grdn. Apt. in Park Slope,525
191075,Sun-drenched East Village Penthouse,526
193105,Columbus Circle Luxury Bldg - Private Room&Bath,527
193333,Bright Private Bedroom in Williamsburg (Bedford L),528
193393,"Spacious, Kid-Friendly, and 15-20 Mins. to Midtown",529
193853,Quiet Chelsea Studio w/Charm,530
194154,Large Room Overlooking Central Park,531
195123,"Cheerful, comfortable room",532
195233,Hospitality on Propsect Pk-12 yrs Hosting Legally!,533
195240,"Prospect Pk*NYC in 5 stops* Cozy,Clean & Legal!",534
195578,Loft Style Apt in Williamsburg,535
195971,2 Beds over Bed-Stuy,536
195989,"Sunny, Large, Park Slope Bedroom",537
196010,Huge Bklyn Loft w Private Roofdeck,538
197155,Quiet Jr Alcove Near Times Square!,539
197753,Large room in elevator drman bldg,540
197942,"Comfy, Cozy, Brooklyn close to Manhattan",541
199195,Modern Bedroom in Hamilton Heights,542
199312,Sunny Space in Williamsburg,543
200645,Best Manhattan Studio Deal!   ,544
200955,STYLISH EAST VILLAGE FLAT,545
201992,Serene Park Slope Garden Apartment,546
202273,Cozy and spacious - rare for NYC!,547
203901,Beautiful UES apartment,548
204065,St. James Pl Garden Studio 1block to PRATT &Gtrain,549
204833,"Great, spacious apt in Williamsburg",550
204959,Comfortable. Spacious. Private Room.,551
205043,Modern Condo in Midtown,552
205485,Ideal Brooklyn Brownstone Apartment,553
205735,"A Cozy Oasis in Bushwick, NY",554
205867,Private Entrance - Private Parking,555
206071,Yankee Stadium Oasis 2 stops to Manhattan!,556
206316,"Sunny, Spacious Studio in Ft.Greene",557
206772,Williamsburg Exposed Brick Loft,558
206957,Bright Modern Charming Housebarge,559
208148,Central Bedford Avenue Apartment,560
208889,Welcome to Brooklyn! Bed-Stuy,561
209310,Sunnyside NYC/ AC room/ city views/ near Midtown,562
211078,Greenpoint Waterfront Loft,563
211974,East Village House -- Unique!,564
212109,2-bedroom share in heart of Greenwich Village!,565
212178,1 Bedroom Pre War apt,566
212544,Quiet One Bedroom in Park Slope,567
213272,CreaTive Live-In Artspace/Birdsnest,568
213330,RARE Penthouse Oasis featured on DesignSponge,569
214917,New Clean Spacious Bed & Breakfast,570
215560,"Sunny, calm room in Victorian home",571
215784,Modern Unique Studio in NYC,572
215907,"2 Bed, 2 Bath Apartment on Central Park West",573
217580,"Luxury Furnished 1 bedro, Bay Ridge",574
218358,Your Haven in the Upper West Side,575
219066,"Wonderful Studio In Brooklyn, NY!!!",576
219482,A Cozy Brooklyn Hideaway,577
219793,✿✿✿ COUNTRY COTTAGE IN THE CITY✿✿✿,578
219818,✿✿✿ COUNTRY COTTAGE IN THE CITY✿✿✿,579
219922,"Lovely Bdr in Harlem, Manhattan",580
220351,THE BEST DEAL ON THE HUDSON RIVER!!,581
220563,Lovely HUGE Master Bed + Study,582
220946,Newly Reno’d Chic Quiet Exec 1BR,583
221043,1 Bedroom in prime Flatiron,584
221097,Large Artist Floorthru- Greenpoint,585
221618,Gorgeous PermaGO Private Room in FiDi - 1/2,586
222054,CBG Helps Haiti Rm #3,587
222304,BEST DEAL IN CHELSEA 1 bdrm NYC,588
223930,Lovely Apartment,589
224004,Artsy Loft-like Harlem Apartment,590
224006,Harlem/Manhattan Classic Apartment,591
224510,"BEAUTIFUL APARTMENT, GREAT LOCATION",592
